LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CHILE,GDEXPRD,TOT,PC_GDP,A,0,0,0,0,0,0,0,0.309565375,0.374967889,0.352021253,0.329474896,0.351442057,0.362204702,0.388699661,0.374973243,0.380601655,0.362437419,0,
,,,,,,,,,,,,,,,,,,,,,,,
CHINA,GDEXPRD,TOT,PC_GDP,A,0.89316325,0.940330913,1.057860257,1.120366462,1.214982433,1.307915592,1.368536788,1.37298243,1.44469417,1.662107119,1.709941619,1.775393143,1.905816117,1.990207375,2.021142108,2.056431525,2.108264404,2.128602053,
,,,,,,,,,,,,,,,,,,,,,,,
ESTONIA,GDEXPRD,TOT,PC_GDP,A,0.600092146,0.699453112,0.716079762,0.767770681,0.8519199,0.923635853,1.116658694,1.068839428,1.259522866,1.395413509,1.581619791,2.306545756,2.122648375,1.722162569,1.429307199,1.466298039,1.246803504,1.288666397,
,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL,GDEXPRD,TOT,PC_GDP,A,3.93623999,4.187716444,4.133451551,3.897869568,3.877316679,4.051531351,4.142363727,4.427682779,4.345167749,4.133261131,3.939838657,4.011514266,4.157349645,4.074797556,4.175841019,4.255625983,4.393138931,4.544737211,
,,,,,,,,,,,,,,,,,,,,,,,
ROMANIA,GDEXPRD,TOT,PC_GDP,A,0.364446025,0.388197219,0.376325821,0.383407317,0.383067736,0.40747182,0.451234178,0.507562142,0.553982178,0.447787223,0.456882292,0.498320235,0.483833659,0.387873545,0.382246402,0.48793047,0.480325704,0.503904863,
,,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,GDEXPRD,TOT,PC_GDP,A,0.975701144,1.093833587,1.158496815,1.193973672,1.068916323,0.991516949,0.996133043,1.036217623,0.969586872,1.16229909,1.049290984,1.012609449,1.02674579,1.025239527,1.070114463,1.098931065,1.096902807,1.108677106,
,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,GDEXPRD,TOT,PC_GDP,A,1.821544868,2.020756492,2.068067552,2.02636131,2.104587501,2.160666308,2.133283809,2.336992438,2.620816159,2.159245923,2.012969931,2.14585536,1.994396202,1.985967934,2.159956154,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,
